Symbol ID,Allow Short
Options / CBOE / BABA / 20X2020 / Put group,Yes
Options / CBOE / BABA / 21F2022 / Call group,Yes
Options / CBOE / BABA / 21F2022 / Put group,Yes
Options / CBOE / BAC / 11U2020 / Call group,Yes
Options / CBOE / BAC / 11U2020 / Put group,Yes
Options / CBOE / BAC / 15F2021 / Call group,Yes
Options / CBOE / BAC / 15F2021 / Put group,Yes
Options / CBOE / BAC / 16V2020 / Call group,Yes
Options / CBOE / BAC / 16V2020 / Put group,Yes
Options / CBOE / BAC / 18M2021 / Call group,Yes
Options / CBOE / BAC / 18M2021 / Put group,Yes
Options / CBOE / BAC / 18U2020 / Call group,Yes
Options / CBOE / BAC / 18U2020 / Put group,Yes
Options / CBOE / BAC / 18Z2020 / Call group,Yes
Options / CBOE / BAC / 18Z2020 / Put group,Yes
Options / CBOE / BAC / 19G2021 / Call group,Yes
Options / CBOE / BAC / 19G2021 / Put group,Yes
Options / CBOE / BAC / 20X2020 / Call group,Yes
Options / CBOE / BAC / 20X2020 / Put group,Yes
Options / CBOE / BAC / 21F2022 / Call group,Yes
Options / CBOE / BAC / 21F2022 / Put group,Yes
Options / CBOE / BAC / 28Q2020 / Call group,Yes
Options / CBOE / BAC / 28Q2020 / Put group,Yes
Options / CBOE / BAC / 4U2020 / Call group,Yes
Options / CBOE / BAC / 4U2020 / Put group,Yes
Options / CBOE / BB / 15F2021 / Call group,Yes
Options / CBOE / BB / 15F2021 / Put group,Yes
Options / CBOE / BB / 18U2020 / Call group,Yes
Options / CBOE / BB / 18U2020 / Put group,Yes
Options / CBOE / BB / 18Z2020 / Call group,Yes
Options / CBOE / BB / 18Z2020 / Put group,Yes
Options / CBOE / BB / 21F2022 / Call group,Yes
Options / CBOE / BB / 21F2022 / Put group,Yes
Options / CBOE / BDX / 15F2021 / Call group,Yes
Options / CBOE / BDX / 15F2021 / Put group,Yes
Options / CBOE / BDX / 18U2020 / Call group,Yes
Options / CBOE / BDX / 18U2020 / Put group,Yes
Options / CBOE / BDX / 18Z2020 / Call group,Yes
